an,locatie,nr_activitati
2022,În mediul preşcolar,2043
2022,În mediul primar gimnazial şi liceal,6977
2022,În mediul universitar,53
2022,În familie,682
2022,În comunitate,1758
2021,În mediul preşcolar,2043
2021,În mediul primar gimnazial şi liceal,6977
2021,În mediul universitar,53
2021,În familie,682
2021,În comunitate,1758
2020,În mediul preşcolar,2043
2020,În mediul primar gimnazial şi liceal,6977
2020,În mediul universitar,53
2020,În familie,682
2020,În comunitate,1758
2019,În mediul preşcolar,2043
2019,În mediul primar gimnazial şi liceal,6977
2019,În mediul universitar,53
2019,În familie,682
2019,În comunitate,1758
2018,În mediul preşcolar,2043
2018,În mediul primar gimnazial şi liceal,6977
2018,În mediul universitar,53
2018,În familie,682
2018,În comunitate,1758
